name,language,prompt,doctests,original,prompt_terminology,tests,stop_tokens
HumanEval_109_move_one_ball,jl,"""""""We have a vector 'arr' of N integers arr[1], arr[2], ..., arr[N].The
numbers in the vector will be randomly ordered. Your task is to determine if
it is possible to get a vector sorted in non-decreasing order by performing 
the following operation on the given vector:
    You are allowed to perform right shift operation any number of times.
One right shift operation means shifting all elements of the vector by one
position in the right direction. The last element of the vector will be moved to
the starting position in the vector i.e. 0th index. 
If it is possible to obtain the sorted vector by performing the above operation
then return true else return false.
If the given vector is empty then return true.
Note: The given vector is guaranteed to have unique elements.
For Example:
>>> move_one_ball([3, 4, 5, 1, 2])
true
Explanation: By performin 2 right shift operations, non-decreasing order can
             be achieved for the given vector.
>>> move_one_ball([3, 5, 4, 1, 2])
false
Explanation:It is not possible to get non-decreasing order for the given
            vector by performing any number of right shift operations.""""""
function move_one_ball(arr::Vector{Int64})::Bool 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_109_move_one_ball.py,reworded,"using Test

@testset begin

candidate = move_one_ball;
	@test(candidate([3, 4, 5, 1, 2]) == true)
	@test(candidate([3, 5, 10, 1, 2]) == true)
	@test(candidate([4, 3, 1, 2]) == false)
	@test(candidate([3, 5, 4, 1, 2]) == false)
	@test(candidate(Vector{Int64}([])) == true)
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_10_make_palindrome,jl,""""""" Find the shortest palindrome that begins with a supplied string.
Algorithm idea is simple:
- Find the longest postfix of supplied string that is a palindrome.
- Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
>>> make_palindrome("""")
""""
>>> make_palindrome(""cat"")
""catac""
>>> make_palindrome(""cata"")
""catac""""""""
function make_palindrome(string::String)::String 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_10_make_palindrome.py,reworded,"using Test

@testset begin

candidate = make_palindrome;
	@test(candidate("""") == """")
	@test(candidate(""x"") == ""x"")
	@test(candidate(""xyz"") == ""xyzyx"")
	@test(candidate(""xyx"") == ""xyx"")
	@test(candidate(""jerry"") == ""jerryrrej"")
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_110_exchange,jl,"""""""In this problem, you will implement a function that takes two vectors of numbers,
and determines whether it is possible to perform an exchange of elements
between them to make lst1 a vector of only even numbers.
There is no limit on the number of exchanged elements between lst1 and lst2.
If it is possible to exchange elements between the lst1 and lst2 to make
all the elements of lst1 to be even, return ""YES"".
Otherwise, return ""NO"".
For example:
>>> exchange([1, 2, 3, 4], [1, 2, 3, 4])
""YES""
>>> exchange([1, 2, 3, 4], [1, 5, 3, 4])
""NO""
It is assumed that the input vectors will be non-empty.""""""
function exchange(lst1::Vector{Int64}, lst2::Vector{Int64})::String 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_110_exchange.py,reworded,"using Test

@testset begin

candidate = exchange;
	@test(candidate([1, 2, 3, 4], [1, 2, 3, 4]) == ""YES"")
	@test(candidate([1, 2, 3, 4], [1, 5, 3, 4]) == ""NO"")
	@test(candidate([1, 2, 3, 4], [2, 1, 4, 3]) == ""YES"")
	@test(candidate([5, 7, 3], [2, 6, 4]) == ""YES"")
	@test(candidate([5, 7, 3], [2, 6, 3]) == ""NO"")
	@test(candidate([3, 2, 6, 1, 8, 9], [3, 5, 5, 1, 1, 1]) == ""NO"")
	@test(candidate([100, 200], [200, 200]) == ""YES"")
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_111_histogram,jl,"""""""Given a string representing a space separated lowercase letters, return a dictionary
of the letter with the most repetition and containing the corresponding count.
If several letters have the same occurrence, return all of them.
Example:
>>> histogram(""a b c"")
Dict(""a"" => 1, ""b"" => 1, ""c"" => 1)
>>> histogram(""a b b a"")
Dict(""a"" => 2, ""b"" => 2)
>>> histogram(""a b c a b"")
Dict(""a"" => 2, ""b"" => 2)
>>> histogram(""b b b b a"")
Dict(""b"" => 4)
>>> histogram("""")
Dict()""""""
function histogram(test::String)::Dict{String, Int64}> 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_111_histogram.py,reworded,"using Test

@testset begin

candidate = histogram;
	@test(candidate(""a b b a"") == Dict(""a"" => 2, ""b"" => 2))
	@test(candidate(""a b c a b"") == Dict(""a"" => 2, ""b"" => 2))
	@test(candidate(""a b c d g"") == Dict(""a"" => 1, ""b"" => 1, ""c"" => 1, ""d"" => 1, ""g"" => 1))
	@test(candidate(""r t g"") == Dict(""r"" => 1, ""t"" => 1, ""g"" => 1))
	@test(candidate(""b b b b a"") == Dict(""b"" => 4))
	@test(candidate(""r t g"") == Dict(""r"" => 1, ""t"" => 1, ""g"" => 1))
	@test(candidate("""") == Dict())
	@test(candidate(""a"") == Dict(""a"" => 1))
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_112_reverse_delete,jl,"""""""Task
We are given two strings s and c, you have to deleted all the characters in s that are equal to any character in c
then check if the result string is palindrome.
A string is called palindrome if it reads the same backward as forward.
You should return a tuple containing the result string and true/false for the check.
Example
>>> reverse_delete(""abcde"", ""ae"")
(""bcd"", false)
>>> reverse_delete(""abcdef"", ""b"")
(""acdef"", false)
>>> reverse_delete(""abcdedcba"", ""ab"")
(""cdedc"", true)""""""
function reverse_delete(s::String, c::String)::Tuple{String, Bool} 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_112_reverse_delete.py,reworded,"using Test

@testset begin

candidate = reverse_delete;
	@test(candidate(""abcde"", ""ae"") == (""bcd"", false))
	@test(candidate(""abcdef"", ""b"") == (""acdef"", false))
	@test(candidate(""abcdedcba"", ""ab"") == (""cdedc"", true))
	@test(candidate(""dwik"", ""w"") == (""dik"", false))
	@test(candidate(""a"", ""a"") == ("""", true))
	@test(candidate(""abcdedcba"", """") == (""abcdedcba"", true))
	@test(candidate(""abcdedcba"", ""v"") == (""abcdedcba"", true))
	@test(candidate(""vabba"", ""v"") == (""abba"", true))
	@test(candidate(""mamma"", ""mia"") == ("""", true))
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_113_odd_count,jl,"""""""Given a vector of strings, where each string consists of only digits, return a vector.
Each element i of the output should be ""the number of odd elements in the
string i of the input."" where all the i's should be replaced by the number
of odd digits in the i'th string of the input.
>>> odd_count([""1234567""])
[""the number of odd elements 4n the str4ng 4 of the 4nput.""]
>>> odd_count([""3"", ""11111111""])
[""the number of odd elements 1n the str1ng 1 of the 1nput."", ""the number of odd elements 8n the str8ng 8 of the 8nput.""]""""""
function odd_count(lst::Vector{String})::Vector{String} 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_113_odd_count.py,reworded,"using Test

@testset begin

candidate = odd_count;
	@test(candidate([""1234567""]) == [""the number of odd elements 4n the str4ng 4 of the 4nput.""])
	@test(candidate([""3"", ""11111111""]) == [""the number of odd elements 1n the str1ng 1 of the 1nput."", ""the number of odd elements 8n the str8ng 8 of the 8nput.""])
	@test(candidate([""271"", ""137"", ""314""]) == [""the number of odd elements 2n the str2ng 2 of the 2nput."", ""the number of odd elements 3n the str3ng 3 of the 3nput."", ""the number of odd elements 2n the str2ng 2 of the 2nput.""])
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_114_minSubArraySum,jl,"""""""Given a vector of integers nums, find the minimum sum of any non-empty sub-vector
of nums.
Example
>>> minSubArraySum([2, 3, 4, 1, 2, 4])
1
>>> minSubArraySum([-1, -2, -3])
-6""""""
function minSubArraySum(nums::Vector{Int64})::Int64 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_114_minSubArraySum.py,reworded,"using Test

@testset begin

candidate = minSubArraySum;
	@test(candidate([2, 3, 4, 1, 2, 4]) == 1)
	@test(candidate([-1, -2, -3]) == -6)
	@test(candidate([-1, -2, -3, 2, -10]) == -14)
	@test(candidate([-9999999999999999]) == -9999999999999999)
	@test(candidate([0, 10, 20, 1000000]) == 0)
	@test(candidate([-1, -2, -3, 10, -5]) == -6)
	@test(candidate([100, -1, -2, -3, 10, -5]) == -6)
	@test(candidate([10, 11, 13, 8, 3, 4]) == 3)
	@test(candidate([100, -33, 32, -1, 0, -2]) == -33)
	@test(candidate([-10]) == -10)
	@test(candidate([7]) == 7)
	@test(candidate([1, -1]) == -1)
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_115_max_fill,jl,"""""""You are given a rectangular grid of wells. Each row represents a single well,
and each 1 in a row represents a single unit of water.
Each well has a corresponding bucket that can be used to extract water from it, 
and all buckets have the same capacity.
Your task is to use the buckets to empty the wells.
Output the number of times you need to lower the buckets.
Example 1:
>>> max_fill([[0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 1, 1]], 1)
6
Example 2:
>>> max_fill([[0, 0, 1, 1], [0, 0, 0, 0], [1, 1, 1, 1], [0, 1, 1, 1]], 2)
5
Example 3:
>>> max_fill([[0, 0, 0], [0, 0, 0]], 5)
0
Constraints:
    * all wells have the same length
    * 1 <= grid.length <= 10^2
    * 1 <= grid[:,1].length <= 10^2
    * grid[i][j] -> 0 | 1
    * 1 <= capacity <= 10""""""
function max_fill(grid::Vector{Vector{Int64}}, capacity::Int64)::Int64 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_115_max_fill.py,reworded,"using Test

@testset begin

candidate = max_fill;
	@test(candidate([[0, 0, 1, 0], [0, 1, 0, 0], [1, 1, 1, 1]], 1) == 6)
	@test(candidate([[0, 0, 1, 1], [0, 0, 0, 0], [1, 1, 1, 1], [0, 1, 1, 1]], 2) == 5)
	@test(candidate([[0, 0, 0], [0, 0, 0]], 5) == 0)
	@test(candidate([[1, 1, 1, 1], [1, 1, 1, 1]], 2) == 4)
	@test(candidate([[1, 1, 1, 1], [1, 1, 1, 1]], 9) == 2)
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_116_sort_array,jl,"""""""In this Kata, you have to sort a vector of non-negative integers according to
number of ones in their binary representation in ascending order.
For similar number of ones, sort based on decimal value.
It must be implemented like this:
>>> sort_array([1, 5, 2, 3, 4])
[1, 2, 3, 4, 5]
>>> sort_array([-2, -3, -4, -5, -6])
[-6, -5, -4, -3, -2]
>>> sort_array([1, 0, 2, 3, 4])
[0, 1, 2, 3, 4]""""""
function sort_array(arr::Vector{Int64})::Vector{Int64} 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_116_sort_array.py,reworded,"using Test

@testset begin

candidate = sort_array;
	@test(candidate([1, 5, 2, 3, 4]) == [1, 2, 4, 3, 5])
	@test(candidate([-2, -3, -4, -5, -6]) == [-4, -2, -6, -5, -3])
	@test(candidate([1, 0, 2, 3, 4]) == [0, 1, 2, 4, 3])
	@test(candidate(Vector{Int64}([])) == Vector{Int64}([]))
	@test(candidate([2, 5, 77, 4, 5, 3, 5, 7, 2, 3, 4]) == [2, 2, 4, 4, 3, 3, 5, 5, 5, 7, 77])
	@test(candidate([3, 6, 44, 12, 32, 5]) == [32, 3, 5, 6, 12, 44])
	@test(candidate([2, 4, 8, 16, 32]) == [2, 4, 8, 16, 32])
	@test(candidate([2, 4, 8, 16, 32]) == [2, 4, 8, 16, 32])
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_117_select_words,jl,"""""""Given a string s and a natural number n, you have been tasked to implement 
a function that returns a vector of all words from string s that contain exactly 
n consonants, in order these words appear in the string s.
If the string s is empty then the function should return an empty vector.
Note: you may assume the input string contains only letters and spaces.
Examples:
>>> select_words(""Mary had a little lamb"", 4)
[""little""]
>>> select_words(""Mary had a little lamb"", 3)
[""Mary"", ""lamb""]
>>> select_words(""simple white space"", 2)
[]
>>> select_words(""Hello world"", 4)
[""world""]
>>> select_words(""Uncle sam"", 3)
[""Uncle""]""""""
function select_words(s::String, n::Int64)::Vector{String} 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_117_select_words.py,reworded,"using Test

@testset begin

candidate = select_words;
	@test(candidate(""Mary had a little lamb"", 4) == [""little""])
	@test(candidate(""Mary had a little lamb"", 3) == [""Mary"", ""lamb""])
	@test(candidate(""simple white space"", 2) == Vector{String}([]))
	@test(candidate(""Hello world"", 4) == [""world""])
	@test(candidate(""Uncle sam"", 3) == [""Uncle""])
	@test(candidate("""", 4) == Vector{String}([]))
	@test(candidate(""a b c d e f"", 1) == [""b"", ""c"", ""d"", ""f""])
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_118_get_closest_vowel,jl,"""""""You are given a word. Your task is to find the closest vowel that stands between 
two consonants from the right side of the word (case sensitive).
Vowels in the beginning and ending doesn't count. Return empty string if you didn't
find any vowel met the above condition. 
You may assume that the given string contains English letter only.
Example:
>>> get_closest_vowel(""yogurt"")
""u""
>>> get_closest_vowel(""FULL"")
""U""
>>> get_closest_vowel(""quick"")
""""
>>> get_closest_vowel(""ab"")
""""""""""
function get_closest_vowel(word::String)::String 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_118_get_closest_vowel.py,reworded,"using Test

@testset begin

candidate = get_closest_vowel;
	@test(candidate(""yogurt"") == ""u"")
	@test(candidate(""full"") == ""u"")
	@test(candidate(""easy"") == """")
	@test(candidate(""eAsy"") == """")
	@test(candidate(""ali"") == """")
	@test(candidate(""bad"") == ""a"")
	@test(candidate(""most"") == ""o"")
	@test(candidate(""ab"") == """")
	@test(candidate(""ba"") == """")
	@test(candidate(""quick"") == """")
	@test(candidate(""anime"") == ""i"")
	@test(candidate(""Asia"") == """")
	@test(candidate(""Above"") == ""o"")
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_119_match_parens,jl,"""""""You are given a vector of two strings, both strings consist of open
parentheses '(' or close parentheses ')' only.
Your job is to check if it is possible to concatenate the two strings in
some order, that the resulting string will be good.
A string S is considered to be good if and only if all parentheses in S
are balanced. For example: the string '(())()' is good, while the string
'())' is not.
Return 'Yes' if there's a way to make a good string, and return 'No' otherwise.
Examples:
>>> match_parens([""()("", "")""])
""Yes""
>>> match_parens(["")"", "")""])
""No""""""""
function match_parens(lst::Vector{String})::String 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_119_match_parens.py,reworded,"using Test

@testset begin

candidate = match_parens;
	@test(candidate([""()("", "")""]) == ""Yes"")
	@test(candidate(["")"", "")""]) == ""No"")
	@test(candidate([""(()(())"", ""())())""]) == ""No"")
	@test(candidate(["")())"", ""(()()(""]) == ""Yes"")
	@test(candidate([""(())))"", ""(()())((""]) == ""Yes"")
	@test(candidate([""()"", ""())""]) == ""No"")
	@test(candidate([""(()("", ""()))()""]) == ""Yes"")
	@test(candidate([""(((("", ""((())""]) == ""No"")
	@test(candidate(["")(()"", ""(()(""]) == ""No"")
	@test(candidate(["")("", "")(""]) == ""No"")
	@test(candidate([""("", "")""]) == ""Yes"")
	@test(candidate(["")"", ""(""]) == ""Yes"")
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_11_string_xor,jl,""""""" Input are two strings a and b consisting only of 1s and 0s.
Perform binary XOR on these inputs and return result also as a string.
>>> string_xor(""010"", ""110"")
""100""""""""
function string_xor(a::String, b::String)::String 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_11_string_xor.py,reworded,"using Test

@testset begin

candidate = string_xor;
	@test(candidate(""111000"", ""101010"") == ""010010"")
	@test(candidate(""1"", ""1"") == ""0"")
	@test(candidate(""0101"", ""0000"") == ""0101"")
end
","['\nfunction', '\nmacro', '\n\n']"
HumanEval_120_maximum,jl,"""""""Given a vector arr of integers and a positive integer k, return a sorted vector 
of length k with the maximum k numbers in arr.
Example 1:
>>> maximum([-3, -4, 5], 3)
[-4, -3, 5]
Example 2:
>>> maximum([4, -4, 4], 2)
[4, 4]
Example 3:
>>> maximum([-3, 2, 1, 2, -1, -2, 1], 1)
[2]
Note:
    1. The length of the vector will be in the range of [1, 1000].
    2. The elements in the vector will be in the range of [-1000, 1000].
    3. 0 <= k <= len(arr)""""""
function maximum(arr::Vector{Int64}, k::Int64)::Vector{Int64} 
",transform,/home/arjun/repos/nuprl/MultiPL-E/datasets/../datasets/originals-with-cleaned-doctests/HumanEval_120_maximum.py,reworded,"using Test

@testset begin

candidate = maximum;
	@test(candidate([-3, -4, 5], 3) == [-4, -3, 5])
	@test(candidate([4, -4, 4], 2) == [4, 4])
	@test(candidate([-3, 2, 1, 2, -1, -2, 1], 1) == [2])
	@test(candidate([123, -123, 20, 0, 1, 2, -3], 3) == [2, 20, 123])
	@test(candidate([-123, 20, 0, 1, 2, -3], 4) == [0, 1, 2, 20])
	@test(candidate([5, 15, 0, 3, -13, -8, 0], 7) == [-13, -8, 0, 0, 3, 5, 15])
	@test(candidate([-1, 0, 2, 5, 3, -10], 2) == [3, 5])
	@test(candidate([1, 0, 5, -7], 1) == [5])
	@test(candidate([4, -4], 2) == [-4, 4])
	@test(candidate([-10, 10], 2) == [-10, 10])
	@test(candidate([1, 2, 3, -23, 243, -400, 0], 0) == Vector{Int64}([]))
end
","['\nfunction', '\nmacro', '\n\n']"
